,M0,M1,chi2,P,df
Class_1,3,8.0,11.83446674812965,0.22280298542490343,9
Class_10,5,13.0,11.83446674812965,0.22280298542490343,9
Class_2,0,2.0,11.83446674812965,0.22280298542490343,9
Class_3,7,15.0,11.83446674812965,0.22280298542490343,9
Class_4,20,31.0,11.83446674812965,0.22280298542490343,9
Class_5,3,13.0,11.83446674812965,0.22280298542490343,9
Class_6,0,3.0,11.83446674812965,0.22280298542490343,9
Class_7,2,13.0,11.83446674812965,0.22280298542490343,9
Class_8,16,27.0,11.83446674812965,0.22280298542490343,9
Class_9,0,8.0,11.83446674812965,0.22280298542490343,9
