,101 ~ 110,71 ~ 80,81 ~ 90,91 ~ 100,chi2,P,df
Class_1,3.0,5.0,3.0,0.0,67.15631346651003,2.827307430096948e-05,27
Class_10,5.0,10.0,3.0,2.0,67.15631346651003,2.827307430096948e-05,27
Class_2,0.0,0.0,2.0,2.0,67.15631346651003,2.827307430096948e-05,27
Class_3,7.0,5.0,10.0,3.0,67.15631346651003,2.827307430096948e-05,27
Class_4,20.0,18.0,13.0,0.0,67.15631346651003,2.827307430096948e-05,27
Class_5,3.0,6.0,7.0,1.0,67.15631346651003,2.827307430096948e-05,27
Class_6,0.0,3.0,0.0,3.0,67.15631346651003,2.827307430096948e-05,27
Class_7,2.0,12.0,3.0,4.0,67.15631346651003,2.827307430096948e-05,27
Class_8,16.0,18.0,9.0,0.0,67.15631346651003,2.827307430096948e-05,27
Class_9,0.0,5.0,3.0,0.0,67.15631346651003,2.827307430096948e-05,27
